ARABIC Calender,Date,USD rate,Location,type,Price(retail),MIN,MAX
2/11/1443,6/1/2022,89.06,খুলনা সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,গাজীপুর সদর,পেঁয়াজ - দেশী,32.00-36.00,32,36
2/11/1443,6/1/2022,89.06,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,চুয়াডাঙ্গা সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35
2/11/1443,6/1/2022,89.06,জয়পুরহাট সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,জামালপুর সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,ঝালকাঠি সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38
2/11/1443,6/1/2022,89.06,ঝিনাইদহ সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
2/11/1443,6/1/2022,89.06,টাংগাইল সদর বাজার,পেঁয়াজ (নতুন),34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,দিনাজপুর সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
2/11/1443,6/1/2022,89.06,নওগাঁ সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,নবাবগঞ্জ সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
2/11/1443,6/1/2022,89.06,নাটোর সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35
2/11/1443,6/1/2022,89.06,নীলফামারী সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,নেত্রকোনা সদর,পেঁয়াজ - দেশী,33.00-35.00,33,35
2/11/1443,6/1/2022,89.06,নোয়াখালি সদর,পেঁয়াজ - দেশী,34.00-38.00,34,38
2/11/1443,6/1/2022,89.06,পটুয়াখালি সদর,পেঁয়াজ - দেশী,36.00-44.00,36,44
2/11/1443,6/1/2022,89.06,পাবনা সদর,পেঁয়াজ (নতুন),35.00-36.00,35,36
2/11/1443,6/1/2022,89.06,পিরোজপুর সদর,পেঁয়াজ (নতুন),34.00-36.00,34,36
2/11/1443,6/1/2022,89.06,ফরিদপুর সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
2/11/1443,6/1/2022,89.06,ফেনী সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,বরিশাল সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,বাগেরহাট সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35
2/11/1443,6/1/2022,89.06,বান্দরবান সদর,পেঁয়াজ - দেশী,40.00-42.00,40,42
2/11/1443,6/1/2022,89.06,ব্রাহ্মণবাড়িয়া সদর,পেঁয়াজ - আমদানিকৃত,42.00-45.00,42,45
2/11/1443,6/1/2022,89.06,ভোলা সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
2/11/1443,6/1/2022,89.06,মাদারিপুর সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,মানিকগঞ্জ সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,মুনশিগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,45.00-48.00,45,48
2/11/1443,6/1/2022,89.06,মৌলভিবাজার সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,যশোর সদর,পেঁয়াজ - আমদানিকৃত,40.00-45.00,40,45
2/11/1443,6/1/2022,89.06,রংপুর মিউনিসিপ্যালিটি মার্কেট,পেঁয়াজ - দেশী,3৯.00-40.00,3৯.00,40
2/11/1443,6/1/2022,89.06,রাঙ্গামাটি সদর,পেঁয়াজ (নতুন),25.00-45.00,25,45
2/11/1443,6/1/2022,89.06,রাজবাড়ী সদর,পেঁয়াজ - দেশী,32.00-34.00,32,34
2/11/1443,6/1/2022,89.06,রাজশাহী সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,লক্ষ্মীপুর সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
2/11/1443,6/1/2022,89.06,লালমনিরহাট সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,শরিয়তপুর সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35
2/11/1443,6/1/2022,89.06,শেরপুর সদর,পেঁয়াজ (নতুন),34.00-35.00,34,35
2/11/1443,6/1/2022,89.06,সাতক্ষিরা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
2/11/1443,6/1/2022,89.06,সিরাজগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
2/11/1443,6/1/2022,89.06,সিলেট সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
2/11/1443,6/1/2022,89.06,হবিগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,গাজীপুর সদর,পেঁয়াজ (নতুন),34.00-36.00,34,36
24/10/1443,5/25/2022,87.96,মুনশিগঞ্জ সদর,পেঁয়াজ (নতুন),40.00-42.00,40,42
24/10/1443,5/25/2022,87.96,নেত্রকোনা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
24/10/1443,5/25/2022,87.96,ফরিদপুর সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,চুয়াডাঙ্গা সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35
24/10/1443,5/25/2022,87.96,সাতক্ষিরা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
24/10/1443,5/25/2022,87.96,নাটোর সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
24/10/1443,5/25/2022,87.96,নীলফামারী সদর,পেঁয়াজ (নতুন),34.00-38.00,34,38
24/10/1443,5/25/2022,87.96,পটুয়াখালি সদর,পেঁয়াজ (নতুন),34.00-36.00,34,36
24/10/1443,5/25/2022,87.96,কুমিল্লা সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,মৌলভিবাজার সদর,পেঁয়াজ (নতুন),34.00-35.00,34,35
24/10/1443,5/25/2022,87.96,ঢাকা সদর,পেঁয়াজ - দেশী,32.00-36.00,32,36
24/10/1443,5/25/2022,87.96,নরসিংদী সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
24/10/1443,5/25/2022,87.96,জামালপুর সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
24/10/1443,5/25/2022,87.96,কিশোরগঞ্জ সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38
24/10/1443,5/25/2022,87.96,মাদারিপুর সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
24/10/1443,5/25/2022,87.96,শরিয়তপুর সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,রাজবাড়ী সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
24/10/1443,5/25/2022,87.96,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
24/10/1443,5/25/2022,87.96,বাগেরহাট সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,ঝিনাইদহ সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
24/10/1443,5/25/2022,87.96,খুলনা সদর,পেঁয়াজ - দেশী,38.00-45.00,38,45
24/10/1443,5/25/2022,87.96,গাইবান্ধা সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
24/10/1443,5/25/2022,87.96,জয়পুরহাট সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
24/10/1443,5/25/2022,87.96,কুড়িগ্রাম সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
24/10/1443,5/25/2022,87.96,লালমনিরহাট সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36
24/10/1443,5/25/2022,87.96,নওগাঁ সদর,পেঁয়াজ - দেশী,32.00-36.00,32,36
24/10/1443,5/25/2022,87.96,নবাবগঞ্জ সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
24/10/1443,5/25/2022,87.96,পঞ্চগ্রাম সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,রাজশাহী সদর,পেঁয়াজ - দেশী,3৯.00-40.00,3৯.00,40
24/10/1443,5/25/2022,87.96,বরগুনা সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
24/10/1443,5/25/2022,87.96,বরিশাল সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
24/10/1443,5/25/2022,87.96,ঝালকাঠি সদর,পেঁয়াজ - দেশী,30.00-40.00,30,40
24/10/1443,5/25/2022,87.96,পিরোজপুর সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38
24/10/1443,5/25/2022,87.96,কক্সবাজার সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
24/10/1443,5/25/2022,87.96,ফেনী সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
24/10/1443,5/25/2022,87.96,খাগড়াছড়ি সদর,পেঁয়াজ - দেশী,36.00-40.00,36,40
24/10/1443,5/25/2022,87.96,লক্ষ্মীপুর সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
24/10/1443,5/25/2022,87.96,নোয়াখালি সদর,পেঁয়াজ - দেশী,32.00-36.00,32,36
24/10/1443,5/25/2022,87.96,হবিগঞ্জ সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
24/10/1443,5/25/2022,87.96,মানিকগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,45.00-48.00,45,48
24/10/1443,5/25/2022,87.96,যশোর সদর,পেঁয়াজ - আমদানিকৃত,40.00-45.00,40,45
24/10/1443,5/25/2022,87.96,কুষ্টিয়া সদর,পেঁয়াজ - আমদানিকৃত,36.00-48.00,36,48
17/10/1443,5/18/2022,87.56,মুনশিগঞ্জ সদর,পেঁয়াজ (নতুন),40.00-45.00,40,45
17/10/1443,5/18/2022,87.56,নেত্রকোনা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
17/10/1443,5/18/2022,87.56,ফরিদপুর সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
17/10/1443,5/18/2022,87.56,চুয়াডাঙ্গা সদর,পেঁয়াজ (নতুন),32.00-35.00,32,35
17/10/1443,5/18/2022,87.56,সাতক্ষিরা সদর,পেঁয়াজ (নতুন),34.00-35.00,34,35
17/10/1443,5/18/2022,87.56,লালমনিরহাট সদর,পেঁয়াজ (নতুন),34.00-35.00,34,35
17/10/1443,5/18/2022,87.56,নবাবগঞ্জ সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35
17/10/1443,5/18/2022,87.56,পাবনা সদর,পেঁয়াজ (নতুন),37.00-38.00,37,38
17/10/1443,5/18/2022,87.56,পিরোজপুর সদর,পেঁয়াজ (নতুন),34.00-35.00,34,35
17/10/1443,5/18/2022,87.56,কক্সবাজার সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
17/10/1443,5/18/2022,87.56,সুনামগঞ্জ সদর,পেঁয়াজ (নতুন),35.00-36.00,35,36
17/10/1443,5/18/2022,87.56,ঢাকা সদর,পেঁয়াজ - দেশী,30.00-36.00,30,36
17/10/1443,5/18/2022,87.56,নরসিংদী সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
17/10/1443,5/18/2022,87.56,জামালপুর সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36
17/10/1443,5/18/2022,87.56,কিশোরগঞ্জ সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38
17/10/1443,5/18/2022,87.56,মাদারিপুর সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35
17/10/1443,5/18/2022,87.56,শরিয়তপুর সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
17/10/1443,5/18/2022,87.56,রাজবাড়ী সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
17/10/1443,5/18/2022,87.56,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,38.00-42.00,38,42
17/10/1443,5/18/2022,87.56,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
17/10/1443,5/18/2022,87.56,বাগেরহাট সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
17/10/1443,5/18/2022,87.56,ঝিনাইদহ সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36
17/10/1443,5/18/2022,87.56,খুলনা সদর,পেঁয়াজ - দেশী,35.00-45.00,35,45
17/10/1443,5/18/2022,87.56,দিনাজপুর সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36
17/10/1443,5/18/2022,87.56,জয়পুরহাট সদর,পেঁয়াজ - দেশী,35.00-38.00,35,38
17/10/1443,5/18/2022,87.56,কুড়িগ্রাম সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
17/10/1443,5/18/2022,87.56,নাটোর সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
17/10/1443,5/18/2022,87.56,নীলফামারী সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
17/10/1443,5/18/2022,87.56,রাজশাহী সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30
17/10/1443,5/18/2022,87.56,বরিশাল সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
17/10/1443,5/18/2022,87.56,ভোলা সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38
17/10/1443,5/18/2022,87.56,পটুয়াখালি সদর,পেঁয়াজ - দেশী,32.00-40.00,32,40
17/10/1443,5/18/2022,87.56,ফেনী সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
17/10/1443,5/18/2022,87.56,খাগড়াছড়ি সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
17/10/1443,5/18/2022,87.56,লক্ষ্মীপুর সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
17/10/1443,5/18/2022,87.56,নোয়াখালি সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
17/10/1443,5/18/2022,87.56,রাঙ্গামাটি সদর,পেঁয়াজ - দেশী,32.00-36.00,32,36
17/10/1443,5/18/2022,87.56,মানিকগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,45.00-48.00,45,48
17/10/1443,5/18/2022,87.56,যশোর সদর,পেঁয়াজ - আমদানিকৃত,40.00-45.00,40,45
17/10/1443,5/18/2022,87.56,কুষ্টিয়া সদর,পেঁয়াজ - আমদানিকৃত,40.00-42.00,40,42
17/10/1443,5/18/2022,87.56,পঞ্চগ্রাম সদর,পেঁয়াজ - আমদানিকৃত,44.00-45.00,44,45
17/10/1443,5/18/2022,87.56,ঝালকাঠি সদর,পেঁয়াজ - আমদানিকৃত,38.00-40.00,38,40
10/10/1443,5/11/2022,86.67,শেরপুর সদর,পেঁয়াজ (নতুন),26.00-28.00,26,28
10/10/1443,5/11/2022,86.67,নরসিংদী সদর,পেঁয়াজ (নতুন),32.00-34.00,32,34
10/10/1443,5/11/2022,86.67,জামালপুর সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35
10/10/1443,5/11/2022,86.67,কিশোরগঞ্জ সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30
10/10/1443,5/11/2022,86.67,মাদারিপুর সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
10/10/1443,5/11/2022,86.67,যশোর সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30
10/10/1443,5/11/2022,86.67,সাতক্ষিরা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
10/10/1443,5/11/2022,86.67,লালমনিরহাট সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
10/10/1443,5/11/2022,86.67,নীলফামারী সদর,পেঁয়াজ (নতুন),32.00-34.00,32,34
10/10/1443,5/11/2022,86.67,পটুয়াখালি সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
10/10/1443,5/11/2022,86.67,পিরোজপুর সদর,পেঁয়াজ (নতুন),35.00-36.00,35,36
10/10/1443,5/11/2022,86.67,চাঁদপুর সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30
10/10/1443,5/11/2022,86.67,কুমিল্লা সদর,পেঁয়াজ (নতুন),28.00-32.00,28,32
10/10/1443,5/11/2022,86.67,লক্ষ্মীপুর সদর,পেঁয়াজ (নতুন),20.00-40.00,20,40
10/10/1443,5/11/2022,86.67,নোয়াখালি সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35
10/10/1443,5/11/2022,86.67,সুনামগঞ্জ সদর,পেঁয়াজ (নতুন),34.00-35.00,34,35
10/10/1443,5/11/2022,86.67,ঢাকা সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32
10/10/1443,5/11/2022,86.67,গাজীপুর সদর,পেঁয়াজ - দেশী,30.00-34.00,30,34
10/10/1443,5/11/2022,86.67,ময়মনসিংহ সদর,পেঁয়াজ - দেশী,28.00-36.00,28,36
10/10/1443,5/11/2022,86.67,মানিকগঞ্জ সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36
10/10/1443,5/11/2022,86.67,নেত্রকোনা সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
10/10/1443,5/11/2022,86.67,ফরিদপুর সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
10/10/1443,5/11/2022,86.67,শরিয়তপুর সদর,পেঁয়াজ - দেশী,30.00-34.00,30,34
10/10/1443,5/11/2022,86.67,রাজবাড়ী সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
10/10/1443,5/11/2022,86.67,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30
10/10/1443,5/11/2022,86.67,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
10/10/1443,5/11/2022,86.67,বাগেরহাট সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
